Name,B_cells,CD8_T_cells,CD4_T_cells,NK_cells,Monocytes,Neutrophils
OK001,0,0.352310119,0,0.083286295,0.363547312,0.051049146
OK002,0.0121455,0.344223661,0,0.066280246,0.329286758,0.111884582
OK003,NA,NA,NA,NA,NA,NA
OK004,0.017451692,0.386112616,0.027669774,0.028755878,0.299047824,0.10015408
OK005,NA,NA,NA,NA,NA,NA
OK006,0.02308216,0,0.28379459,0.143864171,0.380910389,0.029700155
OK007,NA,NA,NA,NA,NA,NA
OK008,0,0,0.307613789,0.000277567,0.291323462,0.263401765
OK009,NA,NA,NA,NA,NA,NA
OK010,NA,NA,NA,NA,NA,NA
OK011,0.004304819,0.382602723,0,0.103109414,0.231088864,0.149287331
OK012,0,0.041895547,0.421720287,0.004200058,0.327495221,0.040119459
OK013,NA,NA,NA,NA,NA,NA
OK014,NA,NA,NA,NA,NA,NA
OK015,NA,NA,NA,NA,NA,NA
OK016,NA,NA,NA,NA,NA,NA
OK017,NA,NA,NA,NA,NA,NA
OK018,NA,NA,NA,NA,NA,NA
OK019,NA,NA,NA,NA,NA,NA
OK020,0.046346222,0.341922818,0,0.100518241,0.364023973,5.88E-05
OK021,0,0.368018909,0,0.10533216,0.28321197,0.11034615
OK022,0.023630926,0.428873336,0,0.0220984,0.34940027,0
OK023,0,0.1758382,0.022017049,0.074494881,0.51598327,0.032340242
OK024,0.008121061,0.130489959,0.14650363,0.169106142,0.273010298,0.179417875
OK025,0.057718979,0.368988218,0,0.052849909,0.332120657,0.045087872
OK026,0,0,0.348016319,0,0.391570045,0.099341224
OK027,0,0,0.384492101,0.039846637,0.377498766,0.031352432
OK028,0,0,0.404928318,0.088547375,0.238053904,0.130538119
OK029,0.003219601,0.227057712,0.090096767,0.035186956,0.462189241,0.023944731
OK030,0,0,0.421812765,0.03112974,0.338111541,0.04052826
OK031,0.116806628,0.155076732,0.01762298,0.135866835,0.406865222,0.04204384
OK032,0.037981692,0.479547749,0,0,0.242669293,0.068870127
OK033,0,0.423602943,0,0,0.355968301,0.044000348
OK034,0.039203725,0.127204888,0.087637033,0.064023685,0.394268678,0.168357411
OK035,NA,NA,NA,NA,NA,NA
OK036,NA,NA,NA,NA,NA,NA
OK037,NA,NA,NA,NA,NA,NA
OK038,0,0,0.438957496,0.030098545,0.349497436,0
OK039,NA,NA,NA,NA,NA,NA
OK040,0,0,0.31587486,0.033810162,0.359273633,0.150026031
OK041,0.117374783,0.367111136,0.014195036,0.127233514,0.248360826,0
OK042,NA,NA,NA,NA,NA,NA
OK043,NA,NA,NA,NA,NA,NA
OK044,NA,NA,NA,NA,NA,NA
OK045,0,0.371661569,0.00493905,0.012320819,0.400205241,0.039584745
OK046,0,0.377070208,0,0.048847958,0.39342298,0.009838952
OK047,NA,NA,NA,NA,NA,NA
OK048,NA,NA,NA,NA,NA,NA
OK049,NA,NA,NA,NA,NA,NA
OK050,0,0,0.485655268,0.026618808,0.237985593,0.076121063
OK051,NA,NA,NA,NA,NA,NA
OK052,0,0.52636191,0,0,0.267916002,0
OK053,0,0.102371068,0.400735132,0.006231591,0.252651465,0.100386561
OK056,0,0.009882257,0.362426374,0.014365704,0.412867486,0.027267995
OK057,0,0,0.279772765,0,0.27285874,0.31002277
OK059,NA,NA,NA,NA,NA,NA
OK060,0.006088652,0.141729261,0.203012074,0.057127904,0.443242246,0
OK063,0.017111231,0.428741806,0,0.057758963,0.321730354,0.008409164
OK065,0.036994319,0.133112913,0.214120839,0.083512316,0.297213144,0.137987123
OK068,0,0.274780229,0.183939986,0,0.349653271,0.061320229
OK069,NA,NA,NA,NA,NA,NA
OK076,0,0,0.282645592,0.079796005,0.460438675,0.005514721
OK078,0.019608973,0.088592584,0.319382181,0,0.239626522,0.215522934
OK080,0,0.160781146,0.258876302,0.013584575,0.275708359,0.181452589
OK083,0,0,0.267849454,0.040094814,0.450185964,0.08004548
OK087,0,0.038374858,0.431517659,0,0.223652754,0.157559426
OK090,0,0,0.428399943,0.021571246,0.275524391,0.118825505
OK094,0.000945996,0,0.184957372,0.058731165,0.447771581,0.15749515
OK095,NA,NA,NA,NA,NA,NA
OK097,0.038653565,0,0.228547619,0.031395896,0.456884478,0.088721159
OK098,0,0,0.286598084,0.066837377,0.409095431,0.089414856
OK099,0.01504475,0.272870328,0,0,0.513489051,0
OK100,0,0,0.372859246,0,0.329766943,0.146241808
OK101,0.010298568,0,0.241075768,0.042227069,0.493295169,0.035555929
OK102,0.013018007,0.310628784,0,0.058794025,0.401508507,0.065769586
OK103,0.021338466,0,0.30650162,0.021984398,0.38993444,0.113914914
OK104,0.010770606,0,0.410778074,0.044261743,0.304458708,0.076992288
OK105,0.0451352,0.384562795,0,0,0.292573774,0.135393448
OK106,0,0,0.139615319,0.009517862,0.558796464,0.088046163
OK108,NA,NA,NA,NA,NA,NA
OK109,0.00557338,0.1880832,0.3598879,0.031646883,0.208072806,0.086959593
OK110,0,0.098803631,0.096825046,0.002284668,0.452249213,0.199139312
OK111,0.008817359,0.176003498,0.133752288,0,0.390314189,0.163942766
OK112,0.040457898,0.206054516,0,0.093095392,0.445857114,0.068123609
OK113,NA,NA,NA,NA,NA,NA
OK114,0.012909275,0.15214441,0.094031542,0.171960745,0.412719601,0.025211269
OK115,0.002016894,0.300794338,0,0,0.487601922,0.018471452
OK118,0,0.123942965,0.22627553,0.029375786,0.375111445,0.121476203
OK119,0,0,0.285806805,0.023858988,0.338283428,0.217110045
OK120,NA,NA,NA,NA,NA,NA
OK121,0,0,0.423650095,0.071969821,0.165259275,0.197334245
OK122,0.008224023,0,0.223209519,0.056776898,0.412786733,0.158897011
OK123,0.00081431,0,0.13086037,0.071366906,0.429196405,0.222646509
OK124,0.079687602,0.362683866,0,0.061819093,0.328357127,0.027046081
OK125,NA,NA,NA,NA,NA,NA
OK126,NA,NA,NA,NA,NA,NA
OK127,0,0.117247098,0.102413454,0.02087207,0.55771108,0
OK128,NA,NA,NA,NA,NA,NA
OK129,0,0,0.413133661,0.009401864,0.354122278,0.052665824
OK130,0.012636816,0.454957892,0.037574935,0,0.286028657,0.040907356
OK131,0.001108424,0.350645487,0.054834803,0,0.405449301,0.022313929
OK132,NA,NA,NA,NA,NA,NA
OK133,NA,NA,NA,NA,NA,NA
OK134,0,0,0.543131427,0.101036515,0.156484409,0.002897395
OK135,0.034342584,0.450586922,0,0.043114786,0.300644217,0.001041005
OK136,0,0,0.516012736,0.036223068,0.252918694,0
OK137,0,0,0.127356434,0.071096695,0.379476602,0.284407017
OK138,0.140362259,0.19272044,0.091714291,0.013576742,0.342934453,0.111513033
OK139,0,0.051485741,0.167585226,0.220051804,0.314299915,0.139134035
OK140,0,0,0.354087947,0.089770807,0.39284985,0
OK141,0.123130707,0.483915771,0,0.005129264,0.13846133,0.088839344
OK142,0.044148362,0.242170334,0.143550039,0,0.422968915,0
OK143,0,0,0.328536845,0.05160267,0.427057775,0.025050679